 INFO  Accepting connections at http://localhost:5173
 HTTP  6/10/2025 1:51:47 PM 172.18.0.7 GET /assets/Login-cecc8d8d.js
 HTTP  6/10/2025 1:51:47 PM 172.18.0.7 Returned 304 in 4 ms
 HTTP  6/10/2025 1:51:47 PM 172.18.0.7 Returned 304 in 2 ms
 HTTP  6/10/2025 1:51:48 PM 172.18.0.7 GET /assets/Login-cecc8d8d.js
 HTTP  6/10/2025 1:51:48 PM 172.18.0.7 Returned 304 in 2 ms
 HTTP  6/10/2025 1:51:48 PM 172.18.0.7 GET /assets/Button-d1ac32ff.js
 HTTP  6/10/2025 1:51:48 PM 172.18.0.7 Returned 304 in 1 ms
 HTTP  6/10/2025 2:03:07 PM 172.18.0.7 GET /
 HTTP  6/10/2025 2:03:07 PM 172.18.0.7 Returned 200 in 1 ms
 HTTP  6/10/2025 2:03:08 PM 172.18.0.7 GET /assets/index-b97c9f74.css
 HTTP  6/10/2025 2:03:08 PM 172.18.0.7 Returned 200 in 1 ms
 HTTP  6/10/2025 2:03:10 PM 172.18.0.7 GET /auth/login
 HTTP  6/10/2025 2:03:10 PM 172.18.0.7 Returned 200 in 1 ms
 HTTP  6/10/2025 2:03:10 PM 172.18.0.7 GET /assets/index-b97c9f74.css
 HTTP  6/10/2025 2:03:10 PM 172.18.0.7 Returned 304 in 1 ms
 HTTP  6/10/2025 2:03:11 PM 172.18.0.7 GET /assets/Button-d1ac32ff.js
 HTTP  6/10/2025 2:03:11 PM 172.18.0.7 Returned 200 in 1 ms
 HTTP  6/10/2025 2:03:12 PM 172.18.0.7 GET /assets/Login-cecc8d8d.js
 HTTP  6/10/2025 2:03:12 PM 172.18.0.7 Returned 304 in 1 ms
 HTTP  6/10/2025 2:03:12 PM 172.18.0.7 GET /assets/Button-d1ac32ff.js
 HTTP  6/10/2025 2:03:12 PM 172.18.0.7 Returned 304 in 1 ms
 HTTP  6/10/2025 2:03:18 PM 172.18.0.7 GET /assets/Register-603fe715.js
 HTTP  6/10/2025 2:03:18 PM 172.18.0.7 Returned 200 in 2 ms
 HTTP  6/10/2025 2:11:28 PM 172.18.0.7 GET /
 HTTP  6/10/2025 2:11:28 PM 172.18.0.7 Returned 304 in 1 ms
 HTTP  6/10/2025 2:11:28 PM 172.18.0.7 GET /assets/index-b97c9f74.css
 HTTP  6/10/2025 2:11:28 PM 172.18.0.7 Returned 304 in 2 ms
 HTTP  6/10/2025 2:11:29 PM 172.18.0.7 GET /assets/Button-d1ac32ff.js
 HTTP  6/10/2025 2:11:29 PM 172.18.0.7 Returned 304 in 2 ms
 HTTP  6/10/2025 2:11:29 PM 172.18.0.7 GET /favicon.ico
 HTTP  6/10/2025 2:11:29 PM 172.18.0.7 Returned 304 in 1 ms
